"","rgn1_nm","r2","coef","range"
"(Intercept)","제주특별자치도",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt","제주특별자치도",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt","제주특별자치도",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일","제주특별자치도",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일","제주특별자치도",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일","제주특별자치도",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일","제주특별자치도",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일","제주특별자치도",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일","제주특별자치도",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee","제주특별자치도",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)1","인천광역시",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt1","인천광역시",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt1","인천광역시",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일1","인천광역시",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일1","인천광역시",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일1","인천광역시",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일1","인천광역시",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일1","인천광역시",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일1","인천광역시",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee1","인천광역시",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)2","부산광역시",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt2","부산광역시",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt2","부산광역시",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일2","부산광역시",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일2","부산광역시",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일2","부산광역시",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일2","부산광역시",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일2","부산광역시",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일2","부산광역시",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee2","부산광역시",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)3","전라북도",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt3","전라북도",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt3","전라북도",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일3","전라북도",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일3","전라북도",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일3","전라북도",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일3","전라북도",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일3","전라북도",0.11892328988476,-0.676437401069832,3.22144895647492
"weekday화요일3","전라북도",0.11892328988476,0.360134966335198,3.22144895647492
"mean_fee3","전라북도",0.11892328988476,0.00133945735155098,3.22144895647492
"(Intercept)4","경상남도",0.11892328988476,-2.85860284889535,3.22144895647492
"rider_cnt4","경상남도",0.11892328988476,3.00549200363138e-05,3.22144895647492
"ord_cnt4","경상남도",0.11892328988476,-4.7938252421763e-06,3.22144895647492
"weekday목요일4","경상남도",0.11892328988476,-0.509325222590946,3.22144895647492
"weekday수요일4","경상남도",0.11892328988476,-0.686110649697668,3.22144895647492
"weekday월요일4","경상남도",0.11892328988476,-0.672398426319362,3.22144895647492
"weekday일요일4","경상남도",0.11892328988476,-0.501522539682017,3.22144895647492
"weekday토요일4","경상남도",0.11892328988476,-0.676437401069832,3.22144895647492
